name,time,application,num_replicas,batch_size
cifar10-662,102696.0,cifar10,8,2048
cifar10-663,103296.0,cifar10,12,4096
ncf-664,103896.0,ncf,1,32768
cifar10-665,104496.0,cifar10,6,2048
cifar10-666,105096.0,cifar10,12,4096
cifar10-667,105696.0,cifar10,8,2048
ncf-668,106296.0,ncf,1,32768
cifar10-669,106896.0,cifar10,12,4096
cifar10-670,107496.0,cifar10,6,2048
cifar10-671,108096.0,cifar10,6,2048
ncf-672,108696.0,ncf,1,32768
yolov3-673,109007.0,yolov3,4,64
cifar10-674,109084.0,cifar10,16,4096
yolov3-675,109133.0,yolov3,4,64
cifar10-676,109141.0,cifar10,8,2048
ncf-677,109204.0,ncf,1,32768
cifar10-678,109296.0,cifar10,16,4096
ncf-679,109478.0,ncf,1,32768
cifar10-680,109481.0,cifar10,8,2048
bert-681,109896.0,bert,6,384
cifar10-682,110496.0,cifar10,16,4096
bert-683,111099.0,bert,12,384
ncf-684,111697.0,ncf,1,32768
ncf-685,112296.0,ncf,1,32768
cifar10-686,112896.0,cifar10,16,4096
cifar10-687,112933.0,cifar10,12,4096
ncf-688,113496.0,ncf,1,32768
cifar10-689,113754.0,cifar10,8,2048
ncf-690,113767.0,ncf,1,32768
ncf-691,114096.0,ncf,1,32768
ncf-692,114696.0,ncf,1,32768
cifar10-693,114868.0,cifar10,12,4096
cifar10-694,114870.0,cifar10,16,4096
cifar10-695,115296.0,cifar10,6,2048
cifar10-696,115896.0,cifar10,12,4096
ncf-697,116499.0,ncf,1,32768
cifar10-698,117096.0,cifar10,12,4096
cifar10-699,117696.0,cifar10,16,4096
yolov3-700,118293.0,yolov3,4,64
cifar10-701,118296.0,cifar10,12,4096
yolov3-702,118441.0,yolov3,4,64
cifar10-703,118896.0,cifar10,8,2048
ncf-704,119497.0,ncf,1,32768
ncf-705,120096.0,ncf,1,32768
cifar10-706,120696.0,cifar10,6,2048
ncf-707,121296.0,ncf,1,32768
cifar10-708,121896.0,cifar10,16,4096
ncf-709,122497.0,ncf,1,32768
cifar10-710,123096.0,cifar10,16,4096
imagenet-711,123317.0,imagenet,48,6400
cifar10-712,123696.0,cifar10,16,4096
ncf-713,124296.0,ncf,1,32768
ncf-714,125496.0,ncf,1,32768
cifar10-715,126096.0,cifar10,16,4096
ncf-716,126696.0,ncf,1,32768
ncf-717,127896.0,ncf,1,32768
ncf-718,128496.0,ncf,1,32768
cifar10-719,129096.0,cifar10,16,4096
ncf-720,129695.0,ncf,1,32768
cifar10-721,130296.0,cifar10,16,4096
ncf-722,130896.0,ncf,1,32768
cifar10-723,131496.0,cifar10,12,4096
ncf-724,132096.0,ncf,1,32768
cifar10-725,132695.0,cifar10,6,2048
ncf-726,133296.0,ncf,1,32768
cifar10-727,133895.0,cifar10,8,2048
ncf-728,134496.0,ncf,1,32768
cifar10-729,135095.0,cifar10,12,4096
cifar10-730,135695.0,cifar10,12,4096
cifar10-731,136296.0,cifar10,6,2048
cifar10-732,136898.0,cifar10,16,4096
ncf-733,137495.0,ncf,1,32768
deepspeech2-734,138095.0,deepspeech2,12,640
ncf-735,138695.0,ncf,1,32768
cifar10-736,139295.0,cifar10,16,4096
cifar10-737,139895.0,cifar10,16,4096
ncf-738,140496.0,ncf,1,32768
ncf-739,141095.0,ncf,1,32768
ncf-740,141695.0,ncf,1,32768
ncf-741,142895.0,ncf,1,32768
ncf-742,143495.0,ncf,1,32768
cifar10-743,144095.0,cifar10,8,2048
cifar10-744,144696.0,cifar10,6,2048
deepspeech2-745,145295.0,deepspeech2,6,320
cifar10-746,145895.0,cifar10,6,2048
ncf-747,146496.0,ncf,1,32768
bert-748,146622.0,bert,6,384
ncf-749,147095.0,ncf,1,32768
cifar10-750,147695.0,cifar10,8,2048
cifar10-751,148295.0,cifar10,16,4096
ncf-752,148895.0,ncf,1,32768
imagenet-753,149363.0,imagenet,24,3200
ncf-754,149495.0,ncf,1,32768
ncf-755,150095.0,ncf,1,32768
cifar10-756,150695.0,cifar10,8,2048
cifar10-757,151295.0,cifar10,8,2048
ncf-758,151895.0,ncf,1,32768
ncf-759,152495.0,ncf,1,32768
cifar10-760,153095.0,cifar10,16,4096
cifar10-761,153696.0,cifar10,16,4096
ncf-762,154296.0,ncf,1,32768
imagenet-763,154791.0,imagenet,32,6400
ncf-764,154896.0,ncf,1,32768
cifar10-765,155496.0,cifar10,6,2048
ncf-766,155672.0,ncf,1,32768
cifar10-767,156096.0,cifar10,12,4096
cifar10-768,156696.0,cifar10,6,2048
ncf-769,157296.0,ncf,1,32768
cifar10-770,157896.0,cifar10,6,2048
yolov3-771,158324.0,yolov3,4,64
ncf-772,158496.0,ncf,1,32768
cifar10-773,159096.0,cifar10,8,2048
cifar10-774,159639.0,cifar10,16,4096
cifar10-775,160296.0,cifar10,8,2048
cifar10-776,160896.0,cifar10,6,2048
ncf-777,162096.0,ncf,1,32768
ncf-778,162696.0,ncf,1,32768
ncf-779,163296.0,ncf,1,32768
ncf-780,164496.0,ncf,1,32768
ncf-781,165096.0,ncf,1,32768
ncf-782,165642.0,ncf,1,32768
cifar10-783,165697.0,cifar10,12,4096
cifar10-784,166296.0,cifar10,6,2048
yolov3-785,167420.0,yolov3,4,64
yolov3-786,167441.0,yolov3,4,64
yolov3-787,167815.0,yolov3,4,64
yolov3-788,167877.0,yolov3,4,64
yolov3-789,168034.0,yolov3,4,64
cifar10-790,168096.0,cifar10,16,4096
ncf-791,168258.0,ncf,1,32768
cifar10-792,168696.0,cifar10,12,4096
yolov3-793,169867.0,yolov3,4,64
cifar10-794,169896.0,cifar10,16,4096
cifar10-795,170497.0,cifar10,16,4096
yolov3-796,170592.0,yolov3,4,64
yolov3-797,170835.0,yolov3,4,64
ncf-798,171096.0,ncf,1,32768
cifar10-799,171696.0,cifar10,12,4096
ncf-800,172296.0,ncf,1,32768
cifar10-801,172900.0,cifar10,12,4096
cifar10-802,173496.0,cifar10,6,2048
bert-803,173534.0,bert,16,384
bert-804,173653.0,bert,16,384
deepspeech2-805,173743.0,deepspeech2,12,640
deepspeech2-806,173803.0,deepspeech2,6,320
ncf-807,174096.0,ncf,1,32768
ncf-808,174696.0,ncf,1,32768
ncf-809,175298.0,ncf,1,32768
cifar10-810,176495.0,cifar10,8,2048
cifar10-811,177095.0,cifar10,16,4096
cifar10-812,177696.0,cifar10,6,2048
yolov3-813,178832.0,yolov3,4,64
cifar10-814,178896.0,cifar10,8,2048
cifar10-815,179495.0,cifar10,8,2048
ncf-816,180095.0,ncf,1,32768
cifar10-817,180695.0,cifar10,8,2048
ncf-818,181296.0,ncf,1,32768
cifar10-819,181895.0,cifar10,12,4096
cifar10-820,182496.0,cifar10,6,2048
ncf-821,183096.0,ncf,1,32768
cifar10-822,183696.0,cifar10,12,4096
cifar10-823,184296.0,cifar10,12,4096
ncf-824,184896.0,ncf,1,32768
cifar10-825,185496.0,cifar10,16,4096
bert-826,185515.0,bert,8,384
deepspeech2-827,185925.0,deepspeech2,6,320
cifar10-828,186096.0,cifar10,16,4096
cifar10-829,186381.0,cifar10,16,4096
ncf-830,186696.0,ncf,1,32768
ncf-831,187298.0,ncf,1,32768
cifar10-832,187896.0,cifar10,16,4096
ncf-833,188496.0,ncf,1,32768
cifar10-834,188944.0,cifar10,8,2048
cifar10-835,188972.0,cifar10,6,2048
yolov3-836,189071.0,yolov3,4,64
yolov3-837,189086.0,yolov3,4,64
ncf-838,189096.0,ncf,1,32768
yolov3-839,189115.0,yolov3,4,64
ncf-840,189317.0,ncf,1,32768
cifar10-841,189354.0,cifar10,6,2048
cifar10-842,189375.0,cifar10,12,4096
yolov3-843,189406.0,yolov3,4,64
ncf-844,189409.0,ncf,1,32768
ncf-845,189428.0,ncf,1,32768
cifar10-846,189441.0,cifar10,12,4096
imagenet-847,189589.0,imagenet,48,6400
ncf-848,189685.0,ncf,1,32768
cifar10-849,189772.0,cifar10,8,2048
cifar10-850,190296.0,cifar10,12,4096
ncf-851,191496.0,ncf,1,32768
yolov3-852,191810.0,yolov3,4,64
cifar10-853,191996.0,cifar10,12,4096
ncf-854,192096.0,ncf,1,32768
yolov3-855,192241.0,yolov3,4,64
yolov3-856,192246.0,yolov3,4,64
ncf-857,192696.0,ncf,1,32768
ncf-858,193296.0,ncf,1,32768
deepspeech2-859,195096.0,deepspeech2,8,320
ncf-860,195696.0,ncf,1,32768
bert-861,196296.0,bert,12,384
yolov3-862,196391.0,yolov3,4,64
cifar10-863,196896.0,cifar10,6,2048
ncf-864,197501.0,ncf,1,32768
ncf-865,198096.0,ncf,1,32768
ncf-866,198696.0,ncf,1,32768
ncf-867,199296.0,ncf,1,32768
deepspeech2-868,199896.0,deepspeech2,8,320
ncf-869,200276.0,ncf,1,32768
ncf-870,200496.0,ncf,1,32768
cifar10-871,201096.0,cifar10,8,2048
ncf-872,201696.0,ncf,1,32768
yolov3-873,201838.0,yolov3,4,64
cifar10-874,202296.0,cifar10,6,2048
ncf-875,202896.0,ncf,1,32768
ncf-876,203496.0,ncf,1,32768
cifar10-877,204096.0,cifar10,6,2048
ncf-878,204697.0,ncf,1,32768
imagenet-879,204781.0,imagenet,32,6400
cifar10-880,205296.0,cifar10,6,2048
ncf-881,205896.0,ncf,1,32768
ncf-882,206399.0,ncf,1,32768
cifar10-883,206441.0,cifar10,12,4096
ncf-884,206444.0,ncf,1,32768
cifar10-885,206453.0,cifar10,12,4096
ncf-886,206454.0,ncf,1,32768
cifar10-887,206455.0,cifar10,16,4096
ncf-888,206460.0,ncf,1,32768
cifar10-889,206496.0,cifar10,16,4096
cifar10-890,206515.0,cifar10,8,2048
yolov3-891,206980.0,yolov3,4,64
cifar10-892,207096.0,cifar10,6,2048
cifar10-893,207696.0,cifar10,6,2048
ncf-894,208296.0,ncf,1,32768
cifar10-895,208896.0,cifar10,12,4096
cifar10-896,209496.0,cifar10,8,2048
cifar10-897,210096.0,cifar10,12,4096
ncf-898,210696.0,ncf,1,32768
ncf-899,211887.0,ncf,1,32768
ncf-900,211890.0,ncf,1,32768
bert-901,211896.0,bert,6,384
cifar10-902,213096.0,cifar10,12,4096
ncf-903,214296.0,ncf,1,32768
ncf-904,214872.0,ncf,1,32768
ncf-905,214876.0,ncf,1,32768
ncf-906,214891.0,ncf,1,32768
cifar10-907,214893.0,cifar10,6,2048
ncf-908,214896.0,ncf,1,32768
ncf-909,214899.0,ncf,1,32768
cifar10-910,214903.0,cifar10,6,2048
ncf-911,215496.0,ncf,1,32768
ncf-912,216096.0,ncf,1,32768
cifar10-913,216696.0,cifar10,6,2048
cifar10-914,217296.0,cifar10,12,4096
cifar10-915,217896.0,cifar10,6,2048
cifar10-916,218499.0,cifar10,16,4096
cifar10-917,219096.0,cifar10,16,4096
cifar10-918,219695.0,cifar10,12,4096
cifar10-919,220296.0,cifar10,8,2048
cifar10-920,220896.0,cifar10,12,4096
ncf-921,221496.0,ncf,1,32768
cifar10-922,222096.0,cifar10,16,4096
ncf-923,222696.0,ncf,1,32768
cifar10-924,223296.0,cifar10,16,4096
ncf-925,223895.0,ncf,1,32768
ncf-926,224327.0,ncf,1,32768
ncf-927,224496.0,ncf,1,32768
ncf-928,225096.0,ncf,1,32768
bert-929,225293.0,bert,8,384
deepspeech2-930,225348.0,deepspeech2,12,640
ncf-931,225696.0,ncf,1,32768
ncf-932,226271.0,ncf,1,32768
ncf-933,226295.0,ncf,1,32768
cifar10-934,226896.0,cifar10,12,4096
ncf-935,226925.0,ncf,1,32768
ncf-936,227453.0,ncf,1,32768
cifar10-937,227496.0,cifar10,12,4096
cifar10-938,228041.0,cifar10,6,2048
bert-939,228075.0,bert,8,384
cifar10-940,228095.0,cifar10,6,2048
bert-941,228120.0,bert,6,384
bert-942,228146.0,bert,6,384
ncf-943,228695.0,ncf,1,32768
yolov3-944,228906.0,yolov3,4,64
ncf-945,229296.0,ncf,1,32768
cifar10-946,229896.0,cifar10,16,4096
imagenet-947,230368.0,imagenet,24,3200
cifar10-948,230495.0,cifar10,16,4096
cifar10-949,231095.0,cifar10,6,2048
cifar10-950,231695.0,cifar10,12,4096
yolov3-951,231964.0,yolov3,4,64
ncf-952,232295.0,ncf,1,32768
ncf-953,232896.0,ncf,1,32768
ncf-954,233099.0,ncf,1,32768
ncf-955,233197.0,ncf,1,32768
ncf-956,233259.0,ncf,1,32768
ncf-957,233495.0,ncf,1,32768
cifar10-958,233923.0,cifar10,6,2048
cifar10-959,234095.0,cifar10,8,2048
ncf-960,234303.0,ncf,1,32768
ncf-961,234345.0,ncf,1,32768
ncf-962,234562.0,ncf,1,32768
cifar10-963,234695.0,cifar10,12,4096
cifar10-964,235243.0,cifar10,8,2048
cifar10-965,235287.0,cifar10,8,2048
ncf-966,235295.0,ncf,1,32768
cifar10-967,235321.0,cifar10,6,2048
ncf-968,235393.0,ncf,1,32768
cifar10-969,235484.0,cifar10,6,2048
cifar10-970,235540.0,cifar10,6,2048
cifar10-971,235749.0,cifar10,6,2048
ncf-972,235832.0,ncf,1,32768
cifar10-973,235853.0,cifar10,6,2048
cifar10-974,235871.0,cifar10,6,2048
ncf-975,235896.0,ncf,1,32768
cifar10-976,235911.0,cifar10,6,2048
bert-977,235965.0,bert,16,384
ncf-978,235975.0,ncf,1,32768
ncf-979,235997.0,ncf,1,32768
ncf-980,236038.0,ncf,1,32768
cifar10-981,236450.0,cifar10,6,2048
cifar10-982,236495.0,cifar10,6,2048
deepspeech2-983,236679.0,deepspeech2,12,640
cifar10-984,236715.0,cifar10,12,4096
cifar10-985,236748.0,cifar10,16,4096
cifar10-986,236842.0,cifar10,12,4096
deepspeech2-987,236869.0,deepspeech2,12,640
cifar10-988,236931.0,cifar10,6,2048
cifar10-989,236951.0,cifar10,16,4096
cifar10-990,236971.0,cifar10,12,4096
bert-991,236982.0,bert,6,384
ncf-992,237091.0,ncf,1,32768
cifar10-993,237096.0,cifar10,12,4096
cifar10-994,237100.0,cifar10,12,4096
deepspeech2-995,237123.0,deepspeech2,6,320
ncf-996,237131.0,ncf,1,32768
cifar10-997,237166.0,cifar10,6,2048
cifar10-998,237207.0,cifar10,8,2048
ncf-999,237251.0,ncf,1,32768
bert-1000,237695.0,bert,16,384
yolov3-1001,238000.0,yolov3,4,64
ncf-1002,238005.0,ncf,1,32768
ncf-1003,238095.0,ncf,1,32768
cifar10-1004,238095.0,cifar10,16,4096
cifar10-1005,238189.0,cifar10,6,2048
cifar10-1006,238191.0,cifar10,8,2048
cifar10-1007,238295.0,cifar10,12,4096
ncf-1008,238529.0,ncf,1,32768
cifar10-1009,238530.0,cifar10,12,4096
ncf-1010,238595.0,ncf,1,32768
ncf-1011,238653.0,ncf,1,32768
ncf-1012,238895.0,ncf,1,32768
ncf-1013,239028.0,ncf,1,32768
yolov3-1014,239045.0,yolov3,4,64
yolov3-1015,239087.0,yolov3,4,64
cifar10-1016,239100.0,cifar10,12,4096
ncf-1017,239110.0,ncf,1,32768
cifar10-1018,239111.0,cifar10,16,4096
ncf-1019,239154.0,ncf,1,32768
ncf-1020,239195.0,ncf,1,32768
ncf-1021,239230.0,ncf,1,32768
ncf-1022,239495.0,ncf,1,32768
ncf-1023,239536.0,ncf,1,32768
bert-1024,240041.0,bert,8,384
cifar10-1025,240099.0,cifar10,16,4096
cifar10-1026,240695.0,cifar10,6,2048
ncf-1027,241295.0,ncf,1,32768
bert-1028,242117.0,bert,16,384
cifar10-1029,242495.0,cifar10,8,2048
ncf-1030,243095.0,ncf,1,32768
cifar10-1031,243285.0,cifar10,6,2048
cifar10-1032,243319.0,cifar10,8,2048
cifar10-1033,243695.0,cifar10,16,4096
ncf-1034,244285.0,ncf,1,32768
ncf-1035,244285.0,ncf,1,32768
cifar10-1036,244299.0,cifar10,12,4096
ncf-1037,244895.0,ncf,1,32768
cifar10-1038,245108.0,cifar10,6,2048
ncf-1039,245114.0,ncf,1,32768
cifar10-1040,245495.0,cifar10,6,2048
cifar10-1041,246095.0,cifar10,16,4096
cifar10-1042,246695.0,cifar10,16,4096
ncf-1043,246785.0,ncf,1,32768
cifar10-1044,246791.0,cifar10,6,2048
ncf-1045,246796.0,ncf,1,32768
cifar10-1046,246800.0,cifar10,16,4096
ncf-1047,246805.0,ncf,1,32768
ncf-1048,246811.0,ncf,1,32768
cifar10-1049,246816.0,cifar10,6,2048
cifar10-1050,246830.0,cifar10,6,2048
cifar10-1051,246840.0,cifar10,6,2048
ncf-1052,246844.0,ncf,1,32768
ncf-1053,246849.0,ncf,1,32768
ncf-1054,246854.0,ncf,1,32768
cifar10-1055,246859.0,cifar10,6,2048
cifar10-1056,246863.0,cifar10,8,2048
ncf-1057,246868.0,ncf,1,32768
cifar10-1058,246872.0,cifar10,16,4096
cifar10-1059,246877.0,cifar10,6,2048
ncf-1060,246882.0,ncf,1,32768
bert-1061,247286.0,bert,8,384
ncf-1062,247895.0,ncf,1,32768
deepspeech2-1063,248112.0,deepspeech2,6,320
yolov3-1064,248208.0,yolov3,4,64
ncf-1065,248212.0,ncf,1,32768
ncf-1066,248231.0,ncf,1,32768
yolov3-1067,248236.0,yolov3,4,64
yolov3-1068,248241.0,yolov3,4,64
yolov3-1069,248246.0,yolov3,4,64
yolov3-1070,248251.0,yolov3,4,64
yolov3-1071,248256.0,yolov3,4,64
cifar10-1072,248262.0,cifar10,8,2048
yolov3-1073,248268.0,yolov3,4,64
yolov3-1074,248273.0,yolov3,4,64
yolov3-1075,248278.0,yolov3,4,64
yolov3-1076,248283.0,yolov3,4,64
yolov3-1077,248292.0,yolov3,4,64
yolov3-1078,248297.0,yolov3,4,64
yolov3-1079,248302.0,yolov3,4,64
yolov3-1080,248307.0,yolov3,4,64
ncf-1081,249695.0,ncf,1,32768
imagenet-1082,249988.0,imagenet,24,3200
ncf-1083,250123.0,ncf,1,32768
ncf-1084,250793.0,ncf,1,32768
ncf-1085,250895.0,ncf,1,32768
cifar10-1086,250937.0,cifar10,12,4096
yolov3-1087,251030.0,yolov3,4,64
yolov3-1088,251044.0,yolov3,4,64
ncf-1089,251160.0,ncf,1,32768
yolov3-1090,251497.0,yolov3,4,64
cifar10-1091,252037.0,cifar10,6,2048
cifar10-1092,252146.0,cifar10,12,4096
ncf-1093,252205.0,ncf,1,32768
yolov3-1094,252286.0,yolov3,4,64
yolov3-1095,252525.0,yolov3,4,64
cifar10-1096,252695.0,cifar10,8,2048
ncf-1097,253295.0,ncf,1,32768
cifar10-1098,253720.0,cifar10,16,4096
ncf-1099,253775.0,ncf,1,32768
deepspeech2-1100,253895.0,deepspeech2,8,320
ncf-1101,254287.0,ncf,1,32768
ncf-1102,254326.0,ncf,1,32768
cifar10-1103,254495.0,cifar10,6,2048
cifar10-1104,254616.0,cifar10,8,2048
bert-1105,254941.0,bert,16,384
deepspeech2-1106,255096.0,deepspeech2,6,320
cifar10-1107,255696.0,cifar10,6,2048
cifar10-1108,256190.0,cifar10,8,2048
cifar10-1109,256296.0,cifar10,6,2048
ncf-1110,256307.0,ncf,1,32768
cifar10-1111,256360.0,cifar10,12,4096
ncf-1112,256485.0,ncf,1,32768
cifar10-1113,256732.0,cifar10,16,4096
imagenet-1114,256824.0,imagenet,32,6400
ncf-1115,256826.0,ncf,1,32768
yolov3-1116,256876.0,yolov3,4,64
ncf-1117,256895.0,ncf,1,32768
ncf-1118,256899.0,ncf,1,32768
cifar10-1119,256925.0,cifar10,8,2048
cifar10-1120,257496.0,cifar10,12,4096
ncf-1121,258096.0,ncf,1,32768
ncf-1122,258696.0,ncf,1,32768
deepspeech2-1123,258722.0,deepspeech2,6,320
bert-1124,259133.0,bert,6,384
deepspeech2-1125,259196.0,deepspeech2,12,640
ncf-1126,259296.0,ncf,1,32768
bert-1127,259316.0,bert,6,384
yolov3-1128,259341.0,yolov3,4,64
bert-1129,259353.0,bert,16,384
yolov3-1130,259403.0,yolov3,4,64
cifar10-1131,259896.0,cifar10,8,2048
ncf-1132,260496.0,ncf,1,32768
ncf-1133,261696.0,ncf,1,32768
imagenet-1134,262212.0,imagenet,48,6400
cifar10-1135,262623.0,cifar10,8,2048
cifar10-1136,262635.0,cifar10,16,4096
cifar10-1137,262651.0,cifar10,12,4096
ncf-1138,262669.0,ncf,1,32768
cifar10-1139,262673.0,cifar10,8,2048
cifar10-1140,264096.0,cifar10,6,2048
cifar10-1141,264696.0,cifar10,6,2048
ncf-1142,265295.0,ncf,1,32768
cifar10-1143,265896.0,cifar10,6,2048
bert-1144,266434.0,bert,12,384
deepspeech2-1145,266464.0,deepspeech2,8,320
cifar10-1146,266496.0,cifar10,16,4096
cifar10-1147,266792.0,cifar10,16,4096
ncf-1148,266812.0,ncf,1,32768
cifar10-1149,266829.0,cifar10,8,2048
cifar10-1150,267096.0,cifar10,8,2048
cifar10-1151,267695.0,cifar10,16,4096
ncf-1152,268295.0,ncf,1,32768
cifar10-1153,268895.0,cifar10,8,2048
ncf-1154,269496.0,ncf,1,32768
cifar10-1155,270096.0,cifar10,16,4096
ncf-1156,270695.0,ncf,1,32768
ncf-1157,271296.0,ncf,1,32768
cifar10-1158,271895.0,cifar10,16,4096
imagenet-1159,271975.0,imagenet,24,3200
cifar10-1160,272496.0,cifar10,12,4096
deepspeech2-1161,272887.0,deepspeech2,8,320
yolov3-1162,272992.0,yolov3,4,64
ncf-1163,273096.0,ncf,1,32768
yolov3-1164,273164.0,yolov3,4,64
imagenet-1165,273223.0,imagenet,48,6400
cifar10-1166,273696.0,cifar10,6,2048
ncf-1167,274295.0,ncf,1,32768
ncf-1168,274896.0,ncf,1,32768
cifar10-1169,275495.0,cifar10,12,4096
cifar10-1170,276095.0,cifar10,6,2048
cifar10-1171,276695.0,cifar10,6,2048
cifar10-1172,277295.0,cifar10,12,4096
imagenet-1173,277425.0,imagenet,48,6400
cifar10-1174,277896.0,cifar10,12,4096
ncf-1175,278495.0,ncf,1,32768
cifar10-1176,279696.0,cifar10,12,4096
cifar10-1177,280295.0,cifar10,8,2048
ncf-1178,280896.0,ncf,1,32768
cifar10-1179,281496.0,cifar10,16,4096
ncf-1180,281873.0,ncf,1,32768
ncf-1181,282096.0,ncf,1,32768
cifar10-1182,282696.0,cifar10,8,2048
ncf-1183,283295.0,ncf,1,32768
deepspeech2-1184,283778.0,deepspeech2,6,320
ncf-1185,284496.0,ncf,1,32768
cifar10-1186,285096.0,cifar10,16,4096
cifar10-1187,285481.0,cifar10,16,4096
ncf-1188,285482.0,ncf,1,32768
cifar10-1189,285696.0,cifar10,6,2048
cifar10-1190,286260.0,cifar10,12,4096
cifar10-1191,286262.0,cifar10,8,2048
cifar10-1192,286296.0,cifar10,6,2048
imagenet-1193,286397.0,imagenet,32,6400
imagenet-1194,286422.0,imagenet,24,3200
imagenet-1195,286456.0,imagenet,32,6400
ncf-1196,286896.0,ncf,1,32768
cifar10-1197,287093.0,cifar10,6,2048
deepspeech2-1198,287099.0,deepspeech2,8,320
cifar10-1199,287496.0,cifar10,8,2048
deepspeech2-1200,287927.0,deepspeech2,6,320
bert-1201,287963.0,bert,16,384
imagenet-1202,287982.0,imagenet,48,6400
ncf-1203,288095.0,ncf,1,32768
ncf-1204,288696.0,ncf,1,32768
cifar10-1205,289296.0,cifar10,16,4096
cifar10-1206,289896.0,cifar10,6,2048
ncf-1207,290496.0,ncf,1,32768
deepspeech2-1208,291459.0,deepspeech2,6,320
bert-1209,291460.0,bert,6,384
cifar10-1210,291696.0,cifar10,16,4096
bert-1211,291785.0,bert,12,384
deepspeech2-1212,291785.0,deepspeech2,8,320
cifar10-1213,292298.0,cifar10,12,4096
cifar10-1214,292896.0,cifar10,8,2048
ncf-1215,293496.0,ncf,1,32768
cifar10-1216,294096.0,cifar10,16,4096
cifar10-1217,294696.0,cifar10,8,2048
ncf-1218,295296.0,ncf,1,32768
ncf-1219,297096.0,ncf,1,32768
ncf-1220,297695.0,ncf,1,32768
ncf-1221,298296.0,ncf,1,32768
cifar10-1222,298774.0,cifar10,12,4096
cifar10-1223,298895.0,cifar10,16,4096
cifar10-1224,299495.0,cifar10,8,2048
cifar10-1225,300096.0,cifar10,8,2048
cifar10-1226,300695.0,cifar10,8,2048
cifar10-1227,301051.0,cifar10,16,4096
ncf-1228,301296.0,ncf,1,32768
yolov3-1229,301528.0,yolov3,4,64
ncf-1230,301896.0,ncf,1,32768
yolov3-1231,302496.0,yolov3,4,64
cifar10-1232,303095.0,cifar10,8,2048
ncf-1233,303118.0,ncf,1,32768
ncf-1234,303695.0,ncf,1,32768
cifar10-1235,304295.0,cifar10,6,2048
ncf-1236,304305.0,ncf,1,32768
deepspeech2-1237,304360.0,deepspeech2,6,320
ncf-1238,304706.0,ncf,1,32768
ncf-1239,304895.0,ncf,1,32768
ncf-1240,305016.0,ncf,1,32768
imagenet-1241,305310.0,imagenet,32,6400
ncf-1242,305496.0,ncf,1,32768
ncf-1243,306097.0,ncf,1,32768
cifar10-1244,306696.0,cifar10,6,2048
ncf-1245,307295.0,ncf,1,32768
ncf-1246,307895.0,ncf,1,32768
cifar10-1247,308496.0,cifar10,16,4096
ncf-1248,309095.0,ncf,1,32768
ncf-1249,310896.0,ncf,1,32768
yolov3-1250,311970.0,yolov3,4,64
yolov3-1251,311972.0,yolov3,4,64
cifar10-1252,312095.0,cifar10,6,2048
cifar10-1253,312695.0,cifar10,8,2048
cifar10-1254,313295.0,cifar10,12,4096
bert-1255,313648.0,bert,6,384
cifar10-1256,313896.0,cifar10,12,4096
cifar10-1257,314495.0,cifar10,6,2048
cifar10-1258,315696.0,cifar10,6,2048
imagenet-1259,317075.0,imagenet,24,3200
imagenet-1260,317079.0,imagenet,32,6400
cifar10-1261,318096.0,cifar10,16,4096
cifar10-1262,318696.0,cifar10,12,4096
yolov3-1263,319256.0,yolov3,4,64
ncf-1264,319296.0,ncf,1,32768
yolov3-1265,320030.0,yolov3,4,64
yolov3-1266,320058.0,yolov3,4,64
deepspeech2-1267,320196.0,deepspeech2,12,640
deepspeech2-1268,320228.0,deepspeech2,12,640
ncf-1269,321096.0,ncf,1,32768
ncf-1270,321695.0,ncf,1,32768
yolov3-1271,322075.0,yolov3,4,64
ncf-1272,322204.0,ncf,1,32768
cifar10-1273,322213.0,cifar10,16,4096
ncf-1274,322217.0,ncf,1,32768
cifar10-1275,322222.0,cifar10,16,4096
cifar10-1276,322248.0,cifar10,6,2048
cifar10-1277,322253.0,cifar10,16,4096
cifar10-1278,322257.0,cifar10,12,4096
ncf-1279,322261.0,ncf,1,32768
cifar10-1280,322266.0,cifar10,12,4096
ncf-1281,322296.0,ncf,1,32768
ncf-1282,322896.0,ncf,1,32768
ncf-1283,323496.0,ncf,1,32768
yolov3-1284,323962.0,yolov3,4,64
yolov3-1285,324018.0,yolov3,4,64
yolov3-1286,324038.0,yolov3,4,64
cifar10-1287,324696.0,cifar10,12,4096
cifar10-1288,325296.0,cifar10,12,4096
cifar10-1289,325702.0,cifar10,6,2048
cifar10-1290,325896.0,cifar10,8,2048
ncf-1291,326074.0,ncf,1,32768
bert-1292,326298.0,bert,16,384
bert-1293,326845.0,bert,12,384
cifar10-1294,327096.0,cifar10,6,2048
yolov3-1295,327684.0,yolov3,4,64
ncf-1296,327696.0,ncf,1,32768
imagenet-1297,327761.0,imagenet,32,6400
imagenet-1298,327813.0,imagenet,48,6400
cifar10-1299,328296.0,cifar10,16,4096
ncf-1300,328891.0,ncf,1,32768
ncf-1301,328896.0,ncf,1,32768
ncf-1302,328896.0,ncf,1,32768
ncf-1303,329496.0,ncf,1,32768
ncf-1304,330017.0,ncf,1,32768
cifar10-1305,330025.0,cifar10,12,4096
cifar10-1306,330030.0,cifar10,16,4096
cifar10-1307,330034.0,cifar10,12,4096
cifar10-1308,330039.0,cifar10,12,4096
ncf-1309,330044.0,ncf,1,32768
ncf-1310,330050.0,ncf,1,32768
